id,name,chain_type,address,phone,website,latitude,longitude,rating,user_ratings_total,price_level,opening_hours,business_status,types,formatted_address,city,collection_method,place_id,google_maps_url,collection_date,confidence_score
1,レイスポーツクラブ岡山,その他,日本、〒700-0944 岡山県岡山市南区泉田１丁目７−６,086-233-2626,http://ray-sports.jp/,34.62811,133.915133,3.5,,,月曜日: 9時00分～22時30分; 火曜日: 9時00分～22時30分; 水曜日: 9時00分～22時30分; 木曜日: 9時00分～22時30分; 金曜日: 9時00分～22時30分; 土曜日: 9時00分～19時00分; 日曜日: 9時00分～18時00分,OPERATIONAL,"gym, spa, point_of_interest, health, establishment",,,nearby_search,,,2025-07-28,1.00
2,カーブス 表町,Curves,日本、〒700-0822 岡山県岡山市北区表町１丁目６−５６ 2F,086-232-7239,https://www.curves.co.jp/gmb690/?s_id=90218,34.6646005,133.9299451,3.1,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"spa, gym, point_of_interest, establishment, health",,,nearby_search,,,2025-07-28,1.00
3,ゼロ戦クラブ,その他,日本、〒700-0971 岡山県岡山市北区野田２丁目１３−８ 野田パークビル ２F,086-244-6806,https://zero-fight.com/,34.654123,133.9031501,3.4,,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,"establishment, point_of_interest, spa, health, gym",,,nearby_search,,,2025-07-28,1.00
4,コザックススポーツ本店,その他,日本、〒700-0927 岡山県岡山市北区西古松１丁目２０−１１,086-239-4575,,34.6491079,133.906907,5,,,,OPERATIONAL,"gym, health, point_of_interest, establishment",,,nearby_search,,,2025-07-28,1.00
5,岡山プロポーションアカデミー,その他,日本、〒700-0821 岡山県岡山市北区中山下１丁目１０−１０ 新田ビル 6F,086-231-1755,https://www.n-pa.com/,34.6637172,133.9280007,4.8,,,月曜日: 10時00分～20時00分; 火曜日: 10時00分～20時00分; 水曜日: 10時00分～20時00分; 木曜日: 10時00分～20時00分; 金曜日: 10時00分～20時00分; 土曜日: 10時00分～16時00分; 日曜日: 定休日,OPERATIONAL,"health, gym, beauty_salon, establishment, point_of_interest",,,nearby_search,,,2025-07-28,1.00
6,(有)アスリート レンタルスタジオ事業部,その他,日本、〒700-0807 岡山県岡山市北区南方５丁目６−６,086-254-0007,https://nbma-okayama.jp/%E6%A1%88%E5%86%85/19348/,34.6778976,133.9212455,,,,月曜日: 10時00分～22時00分; 火曜日: 10時00分～22時00分; 水曜日: 10時00分～22時00分; 木曜日: 10時00分～22時00分; 金曜日: 10時00分～22時00分; 土曜日: 10時00分～22時00分; 日曜日: 10時00分～19時00分,OPERATIONAL,"gym, establishment, health, point_of_interest, school",,,nearby_search,,,2025-07-28,1.00
7,Mitsuzumi B.L.D,その他,日本、〒700-0977 岡山県岡山市北区問屋町１１−１０２ MITSUZUMIビル 3F,086-239-0529,http://mitsuzumi.com/,34.6447501,133.8901301,4.3,,,月曜日: 9時00分～23時00分; 火曜日: 9時00分～23時00分; 水曜日: 9時00分～23時00分; 木曜日: 9時00分～23時00分; 金曜日: 9時00分～23時00分; 土曜日: 9時00分～23時00分; 日曜日: 9時00分～23時00分,OPERATIONAL,"gym, health, establishment, school, point_of_interest",,,nearby_search,,,2025-07-28,1.00
8,ヒーローズ,その他,日本、〒702-0971 岡山県岡山市北区野田２丁目３−３１,086-230-6988,http://heroes.main.jp/,34.6527144,133.903744,4.9,,,月曜日: 10時00分～21時00分; 火曜日: 10時00分～21時00分; 水曜日: 10時00分～21時00分; 木曜日: 10時00分～21時00分; 金曜日: 10時00分～21時00分; 土曜日: 10時00分～21時00分; 日曜日: 定休日,OPERATIONAL,"point_of_interest, gym, health, establishment",,,nearby_search,,,2025-07-28,1.00
9,yoga nadi,その他,日本、〒700-0831 岡山県岡山市北区京橋町９−２５,,https://yoganadi-trinity.com/,34.6580308,133.9307059,5,,,月曜日: 定休日; 火曜日: 定休日; 水曜日: 定休日; 木曜日: 14時00分～20時30分; 金曜日: 10時30分～15時00分; 土曜日: 8時45分～17時00分; 日曜日: 8時45分～17時00分,OPERATIONAL,"point_of_interest, health, gym, establishment",,,nearby_search,,,2025-07-28,1.00
10,ライザップ(RIZAP)岡山店,RIZAP,日本、〒700-0822 岡山県岡山市北区表町１丁目３−５０ 岡山県薬業会館ビル1F,0120-700-900,https://www.rizap.jp/studios/studio027,34.6644687,133.9291522,3.8,,,月曜日: 7時00分～23時00分; 火曜日: 7時00分～23時00分; 水曜日: 7時00分～23時00分; 木曜日: 7時00分～23時00分; 金曜日: 7時00分～23時00分; 土曜日: 7時00分～23時00分; 日曜日: 7時00分～23時00分,OPERATIONAL,"point_of_interest, health, establishment, gym",,,nearby_search,,,2025-07-28,1.00
11,ホットヨガロイブ岡山店,その他,日本、〒700-0935 岡山県岡山市北区神田町２丁目５−２１,0570-666-969,https://www.hotyoga-loive.com/studio/okayama/?utm_source=Google_mybusiness&utm_medium=link&utm_campaign=okayama,34.6390293,133.924316,4.8,,,月曜日: 定休日; 火曜日: 10時00分～22時00分; 水曜日: 10時00分～22時00分; 木曜日: 17時00分～22時00分; 金曜日: 10時00分～22時00分; 土曜日: 10時00分～18時30分; 日曜日: 10時00分～16時45分,OPERATIONAL,"establishment, health, spa, gym, point_of_interest",,,nearby_search,,,2025-07-28,1.00
12,ノアインドアステージ岡山校,その他,日本、〒700-0973 岡山県岡山市南区下中野１４０７−１,086-243-6522,https://noah-okayama.com/,34.6397382,133.9101829,4.4,,,"月曜日: 定休日; 火曜日: 9時00分～23時00分; 水曜日: 9時00分～15時00分, 15時30分～23時00分; 木曜日: 9時00分～23時00分; 金曜日: 9時00分～23時00分; 土曜日: 6時30分～21時00分; 日曜日: 6時30分～17時00分",OPERATIONAL,"establishment, point_of_interest, gym, health",,,nearby_search,,,2025-07-28,1.00
13,テニス&バドミントンスクール・ノア 岡山校,その他,日本、〒700-0973 岡山県岡山市南区下中野１４０７−１,086-243-6522,https://noah-okayama.com/,34.639736,133.9101853,4.2,,,月曜日: 定休日; 火曜日: 9時00分～21時30分; 水曜日: 9時00分～22時30分; 木曜日: 9時00分～21時30分; 金曜日: 9時00分～22時30分; 土曜日: 7時15分～21時00分; 日曜日: 7時15分～16時30分,OPERATIONAL,"establishment, point_of_interest, gym, health, school",,,nearby_search,,,2025-07-28,1.00
14,ＪＳＮ岡山,その他,日本、〒700-0035 岡山県岡山市北区高柳西町１８−１０ スカイパレス高柳,086-259-3441,,34.6619467,133.8976079,4.5,,,,OPERATIONAL,"gym, establishment, point_of_interest, health",,,nearby_search,,,2025-07-28,1.00
15,カーブス ハピータウン岡北,Curves,日本、〒700-0804 岡山県岡山市北区中井町２丁目２−７ ハピータウン岡北 3F,086-234-8880,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91376,34.6795887,133.9286258,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"health, gym, point_of_interest, establishment, spa",,,nearby_search,,,2025-07-28,1.00
16,カーブス 原尾島,Curves,日本、〒703-8256 岡山県岡山市中区原尾島３丁目２ メガネの三城,086-271-7770,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91178,34.6706811,133.9448524,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"gym, point_of_interest, spa, establishment, health",,,nearby_search,,,2025-07-28,1.00
17,Green&Body,その他,日本、〒700-0975 岡山県岡山市北区今４丁目１５−２３ アクシス今 ２階,086-237-4370,https://www.green-and-body.com/,34.6451566,133.8913901,4.8,,,月曜日: 9時00分～21時00分; 火曜日: 9時00分～21時00分; 水曜日: 9時00分～21時00分; 木曜日: 9時00分～21時00分; 金曜日: 定休日; 土曜日: 9���00分～18時00分; 日曜日: 9時00分～18時00分,OPERATIONAL,"health, establishment, gym, point_of_interest, spa",,,nearby_search,,,2025-07-28,1.00
18,バンビ・スタイル工房,その他,日本、〒700-0975 岡山県岡山県岡山市北区今北区今７丁目２４−１８ 102,086-244-0400,http://kotuban-style.com/,34.642657,133.891578,4.3,,,月曜日: 10時00分～13時00分; 火曜日: 定休日; 水曜日: 10時00分～19時30分; 木曜日: 10時00分～19時30分; 金曜日: 10時00分～19時30分; 土曜日: 10時00分～19時30分; 日曜日: 10時00分～19時30分,OPERATIONAL,"point_of_interest, establishment, health, gym",,,nearby_search,,,2025-07-28,1.00
19,スリーウエルネス,その他,日本、〒700-0962 岡山県岡山市北区北長瀬表町３丁目１−８,0120-244-688,https://3wellness.jp/,34.650807,133.885586,4.7,,,,OPERATIONAL,"point_of_interest, gym, lodging, health, establishment",,,nearby_search,,,2025-07-28,1.00
20,カーブス 岡山辰巳,Curves,日本、〒700-0976 岡山県岡山市北区辰巳２６−１０２,086-259-1887,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91353,34.6412073,133.885899,4.7,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"point_of_interest, gym, spa, health, establishment",,,nearby_search,,,2025-07-28,1.00
21,岡山みやび温泉 大家族の湯,その他,日本、〒701-0144 岡山県岡山市北区久米１９７−１,,https://www.daikazokunoyu.jp/,34.6478067,133.8715127,3.9,,,月曜日: 7時00分～23時00分; 火曜日: 7時00分～23時00分; 水曜日: 7時00分～23時00分; 木曜日: 7時00分～23時00分; 金曜日: 7時00分～23時00分; 土曜日: 7時00分～23時00分; 日曜日: 7時00分～23時00分,OPERATIONAL,"health, point_of_interest, establishment, gym",,,nearby_search,,,2025-07-28,1.00
22,オーバルスポーツコム妹尾,その他,日本、〒701-0205 岡山県岡山市南区妹尾８１９−４,086-209-0080,http://www.oval-sports.com/schedule/senoo.html,34.609217,133.863462,3,,,月曜日: 9時30分～19時00分; 火曜日: 9時30分～21時30分; 水曜日: 9時30分～21時30分; 木曜日: 9時30分～21時30分; 金曜日: 9時30分～21時30分; 土曜日: 9時30分～18時00分; 日曜日: 9時30分～13時00分,OPERATIONAL,"point_of_interest, establishment, gym, spa, health",,,nearby_search,,,2025-07-28,1.00
23,ノートルダム清心女子大学 一宮体育館,その他,日本、〒701-1212 岡山県岡山市北区尾上２１２９,086-284-7207,,34.667562,133.861619,,,,,OPERATIONAL,"establishment, point_of_interest, gym, health",,,nearby_search,,,2025-07-28,1.00
24,カーブス 岡山雄町,Curves,日本、〒703-8204 岡山県岡山市中区雄町１７０−３,086-279-3300,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=90065,34.6846277,133.9695592,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"point_of_interest, establishment, health, gym, spa",,,nearby_search,,,2025-07-28,1.00
25,(株)サンクセルクル,その他,日本、〒703-8265 岡山県岡山市中区倉田４９７−１ サンクセルクル,086-277-8815,http://www.cinqcercle.com/,34.629677,133.95754,,,,,OPERATIONAL,"establishment, gym, point_of_interest, health",,,nearby_search,,,2025-07-28,1.00
26,メディカルフィットネスこうなん,その他,日本、〒701-0211 岡山県岡山市南区東畦６５１−１９,086-282-1116,https://www.kounan-cl.com/shisetsu/fitness/,34.605598,133.880795,4,,,月曜日: 9時00分～17時00分; 火曜日: 9時00分～17時00分; 水曜日: 9時00分～17時00分; 木曜日: 9時00分～17時00分; 金曜日: 9時00分～17時00分; 土曜日: 9時00分～17時00分; 日曜日: 定休日,OPERATIONAL,"establishment, gym, health, point_of_interest",,,nearby_search,,,2025-07-28,1.00
27,カーブス 庭瀬,Curves,日本、〒701-0151 岡山県岡山市北区平野９２０ わたなべ生鮮館 2F,086-903-3226,https://www.curves.co.jp/gmb690/?s_id=91127,34.6467,133.854,4.4,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"establishment, point_of_interest, spa, health, gym",,,nearby_search,,,2025-07-28,1.00
28,倉敷市屋内水泳センター,その他,日本、〒710-0038 岡山県倉敷市新田２４５８,086-424-9192,https://www.k-sports.or.jp/facilities/28065/,34.5853575,133.7743452,4,,,月曜日: 9時30分～21時30分; 火曜日: 定休日; 水曜日: 9時30分～21時30分; 木曜日: 9時30分～21時30分; 金曜日: 9時30分～21時30分; 土曜日: 9時30分～19時30分; 日曜日: 9時30分～19時30分,OPERATIONAL,"point_of_interest, health, gym, establishment",,,nearby_search,,,2025-07-28,1.00
29,倉敷市 倉敷体育館,その他,日本、〒710-0846 岡山県倉敷市上富井１−８,086-422-8680,,34.5860699,133.745157,3.7,,,月曜日: 8時00分～21時30分; 火曜日: 8時00分～21時30分; 水曜日: 8時00分～21時30分; 木曜日: 8時00分～21時30分; 金曜日: 8時00分～21時30分; 土曜日: 8時00分～21時30分; 日曜日: 8時00分～21時30分,OPERATIONAL,"establishment, health, gym, point_of_interest",,,nearby_search,,,2025-07-28,1.00
30,BHファクトリー倉敷店,その他,日本、〒710-0038 岡山県倉敷市新田２９０１,086-421-2401,https://karadaikiki.net/,34.5806256,133.7751304,4.2,,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,"gym, health, establishment, point_of_interest",,,nearby_search,,,2025-07-28,1.00
31,フィットネスイノベーション,その他,日本、〒710-0834 岡山県倉敷市笹沖６３８−１ オークビル １階１０３,070-8300-0284,http://www.ppsf-innovation.com/,34.5770797,133.7710507,5,,,月曜日: 8時00分～22時00分; 火曜日: 8時00分～22時00分; 水曜日: 8時00分～22時00分; 木曜日: 8時00分～22時00分; 金曜日: 8時00分～22時00分; 土曜日: 8時00分～22時00分; 日曜日: 8時00分～22時00分,OPERATIONAL,"health, establishment, gym, point_of_interest",,,nearby_search,,,2025-07-28,1.00
32,はあもにい倉敷,その他,日本、〒710-0043 岡山県倉敷市羽島６６６−１,086-434-9039,https://www.harmony-k.jp/,34.5960909,133.7791578,3.9,,,月曜日: 9時00分～21時00分; 火曜日: 9時00分～21時00分; 水曜日: 9時00分～21時00分; 木曜日: 9時00分～21時00分; 金曜日: 9時00分～21時00分; 土曜日: 9時00分～21時00分; 日曜日: 9時00分～17時30分,OPERATIONAL,"point_of_interest, gym, health, establishment, spa",,,nearby_search,,,2025-07-28,1.00
33,KENKOUYA 倉敷店,その他,日本、〒710-0833 岡山県倉敷市西中新田６１９−７,,http://kenkouya.net/,34.5848871,133.7703875,4.9,,,月曜日: 10時00分～23時00分; 火曜日: 10時00分～23時00分; 水曜日: 10時00分～23時00分; 木曜日: 10時00分～23時00分; 金曜日: 10時00分～23時00分; 土曜日: 10時00分～23時00分; 日曜日: 10時00分～23時00分,OPERATIONAL,"establishment, point_of_interest, gym, health",,,nearby_search,,,2025-07-28,1.00
34,グンゼスポーツアイビースクエア,その他,日本、〒710-0054 岡山県倉敷市本町１６−５４ グンゼスポーツクラブ,086-422-2001,http://www.gunzesports.com/kurashiki/?utm_source=google&utm_medium=maps,34.595715,133.7754904,3.7,,,月曜日: 9時00分～22時30分; 火曜日: 9時00分～22時30分; 水曜日: 9時00分～22時30分; 木曜日: 9時00分～22時30分; 金曜日: 9時00分～22時30分; 土曜日: 9時00分～21時00分; 日曜日: 9時00分～19時00分,OPERATIONAL,"establishment, point_of_interest, spa, gym, health",,,nearby_search,,,2025-07-28,1.00
35,パーソナルトレーニングジム AIスタジオ倉敷店,その他,日本、〒710-0817 岡山県倉敷市大内１２３７−１,086-486-0222,https://ai-dream.jp/?utm_source=map&utm_medium=link&utm_campaign=studio,34.60406760000001,133.7517228,5,,,月曜日: 10時00分～23時00分; 火曜日: 10時00分～23時00分; 水曜日: 10時00分～23時00分; 木曜日: 10時00分～23時00分; 金曜日: 10時00分～23時00分; 土曜日: 9時00分～20時00分; 日曜日: 9時00分～14時00分,OPERATIONAL,"health, point_of_interest, establishment, gym",,,nearby_search,,,2025-07-28,1.00
36,ノア・インドアステージ,その他,日本、〒710-0003 岡山県倉敷市平田６１５,086-463-0400,https://noah-kurashiki.com/,34.6112515,133.7795637,3.8,,,,OPERATIONAL,"health, gym, point_of_interest, establishment",,,nearby_search,,,2025-07-28,1.00
37,カーブス 倉敷古城池,Curves,日本、〒712-8046 岡山県倉敷市福田町古新田３０６−６,086-456-8577,https://www.curves.co.jp/gmb690/?s_id=91517,34.5478384,133.7624441,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"establishment, gym, spa, health, point_of_interest",,,nearby_search,,,2025-07-28,1.00
