name,address,latitude,longitude,opening_hours,price_info,visitor_price,photo_permission,website
ワールドプラスジム 津山小田中店,津山市小田中１８５７−１,35.0630163,133.9865394,要確認,要確認,要確認,要確認,
BADASS DEPO (要予約),真庭市多田527ｰ2,35.0805883,133.7547541,要予約,要確認,要確認,要確認,
クメナンチョウタツヤマタイイクカン,久米南町中籾,34.9246026,133.9092073,要確認,要確認,要確認,要確認,
Fit Body Design津山院庄店,津山市院庄９６０−１１,35.0607376,133.9517809,要確認,要確認,要確認,要確認,
Fit Body Design,真庭市勝山５０−１,35.0871675,133.6905276,要確認,要確認,要確認,要確認,
POWER HORSE,津山市船頭町２４,35.0578525,134.0032208,要確認,要確認,要確認,要確認,
スポーツクラブアクトスWill_Gノースランド,津山市上河原１６０−２,35.0807143,134.0046048,要確認,要確認,要確認,要確認,
Everyday Vibrant Activities Physical & Core Fitness Studio,津山市船頭町53番地,35.0578618,134.004531,要確認,要確認,要確認,要確認,
ゴールドジム 津山岡山,津山市河辺 濱田844-1 ユーズボウル内1F,35.0621435,134.0489206,要確認,要確認,要確認,要確認,
Nok Fitness(ノックフィットネス)津山店,津山市小田中１３０３−１８ イニシアビル 2F,35.063568,133.9932573,要確認,要確認,要確認,要確認,
御津スポーツパーク,岡山市北区御津高津１５６６,34.8087953,133.8908536,要確認,要確認,要確認,要確認,
真庭市勝山健康増進施設 水夢,真庭市勝山１０２４,35.0832358,133.7057191,要確認,要確認,要確認,要確認,
つやまスポーツクラブ アイ・マーレ,津山市吹屋町２１ アイ・ふきや 2F,35.0573865,133.9991358,要確認,要確認,要確認,要確認,
私のＧｙｍ（セルフトレーニングスペース）,和気町衣笠９４２,34.7988192,134.1543142,要確認,要確認,要確認,要確認,
スポーツクラブアクトスWill_Gウエストランド,津山市二宮７１,35.0598363,133.9584974,要確認,要確認,要確認,要確認,
Globe Box,津山市京町８０ Globe Box,35.0590902,134.0049508,要確認,要確認,要確認,要確認,
スポーツランド,上郡町高山,34.829293,134.2704547,要確認,要確認,要確認,要確認,
Personal Training Gym TOMBLACK,津山市二階町３９ 池田ビル,35.05879780000001,134.0013542,要確認,要確認,要確認,要確認,
カルヴァータ,津山市川崎１７５６−８,35.0646725,134.0383621,要確認,要確認,要確認,要確認,
白梅総合体育館,真庭市西河内５８６−３,35.0224707,133.7379148,要確認,要確認,要確認,要確認,
鏡野町文化スポーツセンター,鏡野町竹田１５８,35.0909989,133.9340709,要確認,要確認,要確認,要確認,
備前市吉永B&G海洋センター,備前市吉永町吉永中２９１−４,34.810775,134.2110692,要確認,要確認,要確認,要確認,
勝央町健康スポーツクラブ,勝央町勝間田,35.0419466,134.1149904,要確認,要確認,要確認,要確認,
岡山市建部町Ｂ＆Ｇ海洋センター,岡山市北区建部町川口４８,34.8897538,133.8893318,要確認,要確認,要確認,要確認,
カーブス 津山西,津山市二宮71番１ ウエストランド 2F,35.0605505,133.959185,要確認,要確認,要確認,要確認,
和気町B&G海洋センター,和気町父井原２１１０−３,34.8452522,134.1113431,要確認,要確認,要確認,要確認,
カーブス 津山小原,津山市小原１２５３−１,35.077203,133.9982812,要確認,要確認,要確認,要確認,
マシンピラティススタジオ『ルルト』津山店 パーソナルトレーニング,津山市東一宮31−１６ 1F,35.0971325,134.0023439,要確認,要確認,要確認,要確認,
津山総合体育館,津山市山北６６９,35.0689568,134.0083599,要確認,要確認,要確認,要確認,
グローブスポーツドーム,津山市大田５１２−５１２,35.0961474,134.0094117,要確認,要確認,要確認,要確認,
Indoor Training Gym Slugger,津山市北区福渡町１７,35.0599639,133.9968085,要確認,要確認,要確認,要確認,
カーブス イオン津山,津山市河辺１０００−１,35.0645922,134.0480893,要確認,要確認,要確認,要確認,
おおさかトレーニングルーム&からだほぐし(元:逢坂整骨院),赤磐市山口５３４−２,34.7926,133.9837807,要確認,要確認,要確認,要確認,
美作市農業者トレーニングセンター,美作市福本６５５,34.9329787,134.1232932,要確認,要確認,要確認,要確認,
ジャザサイズ津山フィットネスセンター,津山市河辺１０７２−１,35.0619398,134.0438878,要確認,要確認,要確認,要確認,
あわくらマッスル倶楽部,西粟倉村影石1776,35.1853238,134.3013753,要確認,要確認,要確認,要確認,
