id,name,chain_type,address,phone,website,latitude,longitude,rating,reviews_count,price_level,opening_hours,opening_hours_enhanced,opening_hours_compact,business_status,types,vicinity,searchCity,collectionMethod,placeId,googleMapsUrl,last_updated,data_confidence
1,レイスポーツクラブ岡山,その他,日本、〒700-0944 岡山県岡山市南区泉田１丁目７−６,086-233-2626,http://ray-sports.jp/,34.62811,133.915133,3.5,71,,月曜日: 9時00分～22時30分; 火曜日: 9時00分～22時30分; 水曜日: 9時00分～22時30分; 木曜日: 9時00分～22時30分; 金曜日: 9時00分～22時30分; 土曜日: 9時00分～19時00分; 日曜日: 9時00分～18時00分,"⏰ 月～金: 9時00分～22時30分
⏰ 土: 9時00分～19時00分
⏰ 日: 9時00分～18時00分",9:00～22:30,OPERATIONAL,"gym, spa, point_of_interest, health, establishment",岡山市南区泉田１丁目７−６,岡山市,nearby_search,ChIJl4Kk-Hf4UzURo2ZxNMZCG-o,https://maps.google.com/?place_id=ChIJl4Kk-Hf4UzURo2ZxNMZCG-o,2025-07-28,1.00
2,カーブス 表町,Curves,日本、〒700-0822 岡山県岡山市北区表町１丁目６−５６ 2F,086-232-7239,https://www.curves.co.jp/gmb690/?s_id=90218,34.6646005,133.9299451,3.1,7,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火���日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日","⏰ 月・水～金:
   午前 10時00分～13時00分
   午後 15時00分～19時00分
⏰ 土: 10時00分～13時00分
🚫 定休日: 日",日定休,OPERATIONAL,"spa, gym, point_of_interest, establishment, health",岡山市北区表町１丁目６−５６ 2F,岡山市,nearby_search,ChIJ0zlT1zAGVDURgF3F9JngtEs,https://maps.google.com/?place_id=ChIJ0zlT1zAGVDURgF3F9JngtEs,2025-07-28,1.00
3,ゼロ戦クラブ,その他,日本、〒700-0971 岡山県岡山市北区野田２丁目１３−８ 野田パークビル ２F,086-244-6806,https://zero-fight.com/,34.654123,133.9031501,3.4,13,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,24時間営業,24時間営業,OPERATIONAL,"establishment, point_of_interest, spa, health, gym",岡山市北区野田２丁目１３−８ 野田パークビル ２F,岡山市,nearby_search,ChIJrwctqwsHVDUR4ebh3tAC_Jc,https://maps.google.com/?place_id=ChIJrwctqwsHVDUR4ebh3tAC_Jc,2025-07-28,1.00
4,コザックススポーツ本店,その他,日本、〒700-0927 岡山県岡山市北区西古松１丁目２０−１１,086-239-4575,,34.6491079,133.906907,5,1,,,営業時間不明,営業時間不明,OPERATIONAL,"gym, health, point_of_interest, establishment",岡山市北区西古松１丁目２０−１１,岡山市,nearby_search,ChIJ36KglZ8HVDURUNYRjVCkJpA,https://maps.google.com/?place_id=ChIJ36KglZ8HVDURUNYRjVCkJpA,2025-07-28,0.70
5,岡山プロポーションアカデミー,その他,日本、〒700-0821 岡山県岡山市北区中山下１丁目１０−１０ 新田ビル 6F,086-231-1755,https://www.n-pa.com/,34.6637172,133.9280007,4.8,142,,月曜日: 10時00分～20時00分; 火曜日: 10時00分～20時00分; 水曜日: 10時00分～20時00分; 木曜日: 10時00分～20時00分; 金曜日: 10���00分～20時00分; 土曜日: 10時00分～16時00分; 日曜日: 定休日,"⏰ 月～木: 10時00分～20時00分
⏰ 金: 10���00分～20時00分
⏰ 土: 10時00分～16時00分
🚫 定休日: 日",日定休,OPERATIONAL,"health, gym, beauty_salon, establishment, point_of_interest",岡山市北区中山下１丁目１０−１０ 新田ビル 6F,岡山市,nearby_search,ChIJ69cjlzYGVDURoQtj9Rd89pY,https://maps.google.com/?place_id=ChIJ69cjlzYGVDURoQtj9Rd89pY,2025-07-28,1.00
6,(有)アスリート レンタルスタジオ事業部,その他,日本、〒700-0807 岡山県岡山市北区南方５丁目６−６,086-254-0007,https://nbma-okayama.jp/%E6%A1%88%E5%86%85/19348/,34.6778976,133.9212455,,,,月曜日: 10時00分～22時00分; 火曜日: 10時00分～22時00分; 水曜日: 10時00分～22時00分; 木曜日: 10時00分～22時00分; 金曜日: 10時00分～22時00分; 土曜日: 10時00分～22時00分; 日曜日: 10時00分～19時00分,"⏰ 月～土: 10時00分～22時00分
⏰ 日: 10時00分～19時00分",10:00～22:00,OPERATIONAL,"gym, establishment, health, point_of_interest, school",岡山市北区南方５丁目６−６,岡山市,nearby_search,ChIJS7kJvEEGVDURB8Jt8MniHQc,https://maps.google.com/?place_id=ChIJS7kJvEEGVDURB8Jt8MniHQc,2025-07-28,0.90
7,Mitsuzumi B.L.D,その他,日本、〒700-0977 岡山県岡山市北区問屋町１１−１０２ MITSUZUMIビル 3F,086-239-0529,http://mitsuzumi.com/,34.6447501,133.8901301,4.3,4,,月曜日: 9時00分～23時00分; 火曜日: 9時00分～23時00分; 水曜日: 9時00分～23時00分; 木曜日: 9時00分～23時00分; 金曜日: 9時00分～23時00分; 土曜日: 9時00分～23時00分; 日曜日: 9時00分～23時00分,⏰ 月～日: 9時00分～23時00分,9:00～23:00,OPERATIONAL,"gym, health, establishment, school, point_of_interest",岡山市北区問屋町１１−１０２ MITSUZUMIビル 3F,岡山市,nearby_search,ChIJdeRquGYHVDUROzUXdKskJ7A,https://maps.google.com/?place_id=ChIJdeRquGYHVDUROzUXdKskJ7A,2025-07-28,0.90
8,ヒーローズ,その他,日本、〒702-0971 岡山県岡山市北区野田２丁目３−３１,086-230-6988,http://heroes.main.jp/,34.6527144,133.903744,4.9,94,,月曜日: 10時00分～21時00分; 火曜日: 10時00分～21時00分; 水曜日: 10時00分～21時00分; 木曜日: 10時00分～21時00分; 金曜日: 10時00分～21時00分; 土曜日: 10���00分～21時00分; 日曜日: 定休日,"⏰ 月～金: 10時00分～21時00分
⏰ 土: 10���00分～21時00分
🚫 定休日: 日",日定休,OPERATIONAL,"point_of_interest, gym, health, establishment",岡山市北区野田２丁目３−３１,岡山市,nearby_search,ChIJod94bgcIVDUR4W8N75YtTs4,https://maps.google.com/?place_id=ChIJod94bgcIVDUR4W8N75YtTs4,2025-07-28,1.00
9,yoga nadi,その他,日本、〒700-0831 岡山県岡山市北区京橋町９−２５,,https://yoganadi-trinity.com/,34.6580308,133.9307059,5,8,,月曜日: 定休日; 火曜日: 定休日; 水曜日: 定休日; 木曜日: 14時00分～20時30分; 金曜日: 10時30分～15時00分; 土曜日: 8時45分～17時00分; 日曜日: 8時45分～17時00分,"🚫 定休日: 月～水
⏰ 木: 14時00分～20時30分
⏰ 金: 10時30分～15時00分
⏰ 土・日: 8時45分～17時00分",月・火・水定休,OPERATIONAL,"point_of_interest, health, gym, establishment",岡山市北区京橋町９−２５,岡山市,nearby_search,ChIJqzHVODMGVDURorA7-mqb5yk,https://maps.google.com/?place_id=ChIJqzHVODMGVDURorA7-mqb5yk,2025-07-28,0.90
10,ライザップ(RIZAP)岡山店,RIZAP,日本、〒700-0822 岡山県岡山市北区表町１丁目３−５０ 岡山県薬業会館ビル1F,0120-700-900,https://www.rizap.jp/studios/studio027,34.6644687,133.9291522,3.8,10,,月曜日: 7時00分～23時00分; 火曜日: 7時00分～23時00分; 水曜日: 7時00分～23時00分; 木曜日: 7時00分～23時00分; 金曜日: 7時00分～23時00分; 土曜日: 7時00分～23時00分; 日曜日: 7時00分～23時00分,⏰ 月～日: 7時00分～23時00分,7:00～23:00,OPERATIONAL,"point_of_interest, health, establishment, gym",岡山市北区表町１丁目３−５０ 岡山県薬業会館ビル1F,岡山市,nearby_search,ChIJRwC4Xk2_QzURGMNIXaDHrpU,https://maps.google.com/?place_id=ChIJRwC4Xk2_QzURGMNIXaDHrpU,2025-07-28,1.00
11,ホットヨガロイブ岡山店,その他,日本、〒700-0935 岡山県岡山市北区神田町２丁目５−２１,0570-666-969,https://www.hotyoga-loive.com/studio/okayama/?utm_source=Google_mybusiness&utm_medium=link&utm_campaign=okayama,34.6390293,133.924316,4.8,111,,月曜日: 定休日; 火曜日: 10時00分～22時00分; 水曜日: 10時00分～22時00分; 木曜日: 17時00分～22時00分; 金曜日: 10時00分～22時00分; 土曜��: 10時00分～18時30分; 日曜日: 10時00分～16時45分,"🚫 定休日: 月
⏰ 火・水・金: 10時00分～22時00分
⏰ 木: 17時00分～22時00分
⏰ 日: 10時00分～16時45分",月定休,OPERATIONAL,"establishment, health, spa, gym, point_of_interest",岡山市北区神田町２丁目５−２１,岡山市,nearby_search,ChIJ8SWC30sGVDURnk1KI0pVkJ0,https://maps.google.com/?place_id=ChIJ8SWC30sGVDURnk1KI0pVkJ0,2025-07-28,1.00
12,ノアインドアステージ岡山校,その他,日本、〒700-0973 岡山県岡山市南区下中野１４０７−１,086-243-6522,https://noah-okayama.com/,34.6397382,133.9101829,4.4,15,,"月曜日: 定休日; 火曜日: 9時00分～23時00分; 水曜日: 9時00分～15時00分, 15時30分～23時00分; 木曜日: 9時00分～23時00分; 金曜日: 9時00分～23時00分; 土曜日: 6時30分～21時00分; 日曜日: 6時30分～17時00分","🚫 定休日: 月
⏰ 火・木・金: 9時00分～23時00分
⏰ 水:
   午前 9時00分～15時00分
   午後 15時30分～23時00分
⏰ 土: 6時30分～21時00分
⏰ 日: 6時30分～17時00分",月定休,OPERATIONAL,"establishment, point_of_interest, gym, health",岡山市南区下中野１４０７−１,岡山市,nearby_search,ChIJVzjihJsHVDURqW_Tc6IAqCI,https://maps.google.com/?place_id=ChIJVzjihJsHVDURqW_Tc6IAqCI,2025-07-28,1.00
13,テニス&バドミントンスクール・ノア 岡山校,その他,日本、〒700-0973 岡山県岡山市南区下中野１４０７−１,086-243-6522,https://noah-okayama.com/,34.639736,133.9101853,4.2,41,,月曜日: 定休日; 火曜日: 9時00分～21時30分; 水曜日: 9時00分～22時30分; 木曜日: 9時00分～21時30分; 金曜日: 9時00分～22時30分; 土曜日: 7時15分～21時00分; 日曜日: 7時15分～16時30分,"🚫 定休日: 月
⏰ 火・木: 9時00分～21時30分
⏰ 水・金: 9時00分～22時30分
⏰ 土: 7時15分～21時00分
⏰ 日: 7時15分～16時30分",月定休,OPERATIONAL,"establishment, point_of_interest, gym, health, school",岡山市南区下中野１４０７−１,岡山市,nearby_search,ChIJD_Rxq5wHVDUR6I1tY1B5j48,https://maps.google.com/?place_id=ChIJD_Rxq5wHVDUR6I1tY1B5j48,2025-07-28,1.00
14,ＪＳＮ岡山,その他,日本、〒700-0035 岡山県岡山市北区高柳西町１８−１０ スカイパレス高柳,086-259-3441,,34.6619467,133.8976079,4.5,2,,,営業時間不明,営業時間不明,OPERATIONAL,"gym, establishment, point_of_interest, health",岡山市北区高柳西町１８−１０ スカイパレス高柳,岡山市,nearby_search,ChIJDWpVvA8HVDURNLPYvpb2004,https://maps.google.com/?place_id=ChIJDWpVvA8HVDURNLPYvpb2004,2025-07-28,0.70
15,カーブス ハピータウン岡北,Curves,日本、〒700-0804 岡山県岡山市北区中井町２丁目２−７ ハピータウン岡北 3F,086-234-8880,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91376,34.6795887,133.9286258,4.6,26,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日","⏰ 月～金:
   午前 10時00分～13時00分
   午後 15時00分～19時00分
⏰ 土: 10時00分～13時00分
🚫 定休日: 日",日定休,OPERATIONAL,"health, gym, point_of_interest, establishment, spa",岡山市北区中井町２丁目２−７ ハピータウン岡北 3F,岡山市,nearby_search,ChIJpdfeFxQGVDURg8TD4t9r3Ys,https://maps.google.com/?place_id=ChIJpdfeFxQGVDURg8TD4t9r3Ys,2025-07-28,1.00
16,カーブス 原尾島,Curves,日本、〒703-8256 岡山県岡山市中区原尾島３丁目２ メガネの三城,086-271-7770,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91178,34.6706811,133.9448524,4.6,18,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日","⏰ 月～金:
   午前 10時00分～13時00分
   午後 15時00分～19時00分
⏰ 土: 10時00分～13時00分
🚫 定休日: 日",日定休,OPERATIONAL,"gym, point_of_interest, spa, establishment, health",岡山市中区原尾島３丁目 メガネの三城,岡山市,nearby_search,ChIJGZomfqAIVDURaFYqvCoGnjY,https://maps.google.com/?place_id=ChIJGZomfqAIVDURaFYqvCoGnjY,2025-07-28,1.00
